"TORQUE","1140","1117","1140","TORQUE","torque"
"TOYO","1144","1121","1144","TOYO","toyo"
"TPR","1157","1133","1157","TPR","tpr"
"TSN","1170","1145","1170","TSN","tsn"
"TYB","1172","1149","1172","TYB","tyb"
"UNIPOINT","1179","1156","1179","UNIPOINT","unipoint"
"VALEO","1202","1177","1202","VALEO","valeo"
"VERNET","1210","1187","1210","VERNET","vernet"
"VICHURA","1213","1190","1213","VICHURA","vichura"
"WIA","1246","1223","1246","WIA","wia"
"WOOSHIN","1249","1226","1249","WOOSHIN","wooshin"
"Yamasida","1257","1234","1257","YAMASIDA","yamasida"
"YPR","1276","1249","1276","YPR","ypr"
"YULIM","1283","1254","1283","YULIM","yulim"
"ZETRA","1285","1258","1285","ZETRA","zetra"
"ROADRUNNER","1298","1271","1298","RoadRunner","roadrunner"
"YJT","1303","1278","1303","YJT","yjt"
"JD","1309","1288","1309","JD","jd"
"MOBIS","1341","1330","1341","MOBIS","mobis"
"MOBIS","1341","1338","1341","MOBIS","mobis"
"ZEVS","1345","1341","1345","zevs","zevs"
"RHEE-JIN",NULL,NULL,NULL,NULL,NULL
"NEOLUX",NULL,NULL,NULL,NULL,NULL
"REDSKIN",NULL,NULL,NULL,NULL,NULL
"DONG-SUNG",NULL,NULL,NULL,NULL,NULL
"GEUN-YOUNG",NULL,NULL,NULL,NULL,NULL
"TESLA-TECHNICS",NULL,NULL,NULL,NULL,NULL
"YCM PARTS  ",NULL,NULL,NULL,NULL,NULL
"ELEMENT",NULL,NULL,NULL,NULL,NULL
"XNT PARTS  ",NULL,NULL,NULL,NULL,NULL
"POONG-SUNG",NULL,NULL,NULL,NULL,NULL
"DYP   ",NULL,NULL,NULL,NULL,NULL
"SNR-NTN",NULL,NULL,NULL,NULL,NULL
"DAE-JIN",NULL,NULL,NULL,NULL,NULL
"KORMAX  ",NULL,NULL,NULL,NULL,NULL
"BAP PARTS  ",NULL,NULL,NULL,NULL,NULL
"JIN-YOU",NULL,NULL,NULL,NULL,NULL
"KMK-GLASS",NULL,NULL,NULL,NULL,NULL
"MEGAPOWER",NULL,NULL,NULL,NULL,NULL
"HS-R-A",NULL,NULL,NULL,NULL,NULL
"AUROCHS",NULL,NULL,NULL,NULL,NULL
"OOTOKO",NULL,NULL,NULL,NULL,NULL
"AUTOMATIC",NULL,NULL,NULL,NULL,NULL
"HINO",NULL,NULL,NULL,NULL,NULL
"TOYOTA/LEXUS",NULL,NULL,NULL,NULL,NULL
"GSPARTS",NULL,NULL,NULL,NULL,NULL
"SKV",NULL,NULL,NULL,NULL,NULL
"MATSUYAMA",NULL,NULL,NULL,NULL,NULL
"РОССИЯ",NULL,NULL,NULL,NULL,NULL
"MENCH  ",NULL,NULL,NULL,NULL,NULL
"MNCH PARTS  ",NULL,NULL,NULL,NULL,NULL
"NOK  ",NULL,NULL,NULL,NULL,NULL
"HNG",NULL,NULL,NULL,NULL,NULL
